chamber,layer,position,leafarea,freshweight,dryweight,SLA,Nperc,Cperc
ch14,3,Inner,203.6,5.7,2.39,85.18828452,1.3985,51.325
ch14,3,Outer,236.9,6.65,2.83,83.71024735,1.941,52.08333333
ch14,4,Inner,167.4,4.39,1.89,88.57142857,,
ch14,4,Outer,267.6,8.02,3.68,72.7173913,,
ch14,5,Inner,190.9,6.5,2.72,70.18382353,2.306,51.69
ch14,5,Outer,231,7.58,2.78,83.09352518,1.971,53.83
ch15,1,Inner,190.18,4.72,1.94,98.03092784,1.043,45.99
ch15,1,Outer,192.6,4.27,1.62,118.8888889,1.84,51.04
ch15,2,Inner,202.7,5.86,2.29,88.51528384,,
ch15,2,Outer,230.86,5.66,2.15,107.3767442,,
ch15,3,Inner,143.5,3.33,1.22,117.6229508,1.51,49.71
ch15,3,Outer,225.1,6,2.4,93.79166667,1.527,51.14
ch15,4,Inner,180.8,4.34,1.94,93.19587629,,
ch15,4,Outer,198.2,5.05,2.33,85.06437768,,
ch15,5,Inner,137.8,3.5,1.61,85.59006211,1.657,51.46
ch15,5,Outer,205,5.32,2.46,83.33333333,1.772,51.41
ch16,1,Inner,157.6,3.4,1.43,110.2097902,1.1215,45.895
ch16,1,Outer,227.8,5.94,2.67,85.31835206,1.406,48.84
ch16,2,Inner,172.9,4.06,1.74,99.36781609,,
ch16,2,Outer,199.1,4.75,1.92,103.6979167,,
ch16,3,Inner,248.9,7.26,3.18,78.27044025,1.3225,50.315
ch16,3,Outer,158.4,4.07,1.61,98.38509317,2.156,52.32
ch16,4,Inner,107.8,2.64,1.07,100.7476636,,
ch16,4,Outer,198,5.42,2.16,91.66666667,,
ch16,5,Inner,167.1,4.45,2.07,80.72463768,1.9655,54.435
ch16,5,Outer,192.7,4.6,2.01,95.87064677,2.3975,53.0225
ch17,1,Inner,248.7,6.76,2.6,95.65384615,0.9267,48.56
ch17,1,Outer,238.3,6.01,2.32,102.7155172,0.9921,48.81
ch17,2,Inner,227.8,5.69,2.15,105.9534884,,
ch17,2,Outer,192.6,4.97,1.91,100.8376963,,
ch17,3,Inner,261.5,7.9,3.2,81.71875,0.9719,52
ch17,3,Outer,273.7,7.42,3.15,86.88888889,1.29,50.39
ch17,4,Inner,144.2,3.56,1.47,98.0952381,,
ch17,4,Outer,232.3,7.22,3,77.43333333,,
ch17,5,Inner,160,4.78,1.87,85.56149733,1.282,51.11
ch17,5,Outer,175.6,5.25,1.92,91.45833333,1.3285,52.025
ch18,1,Inner,218.6,5.09,2.1,104.0952381,1.070066667,47.27
ch18,1,Outer,292.8,8.29,3.71,78.92183288,1.3175,50.815
ch18,2,Inner,236.7,6.07,2.45,96.6122449,,
ch18,2,Outer,201.3,5.13,2.07,97.24637681,,
ch18,3,Inner,190.4,4.82,2.05,92.87804878,1.372,50.76
ch18,3,Outer,215.6,5.32,2.26,95.39823009,1.810666667,52.26333333
ch18,4,Inner,176.5,4.13,1.89,93.38624339,,
ch18,4,Outer,208.8,6.72,2.87,72.75261324,,
ch18,5,Inner,155.9,4.45,1.8,86.61111111,2.27,52.25
ch18,5,Outer,250.9,7.36,2.73,91.9047619,2.347,52.72
