chamber,layerno,branchnumber,stemnumber,oldbranchnumber,azimuthangle ,diameter,length, insertionheight,tipheight,br2order,Wleafandpetiole,WsubsampleLA,leafarea,Wnonexpleaf,Wflowerbuds,Wbrlt1,Wbrgt1,Wdeadwood,Comments
ch16,1,3,1.1,24,E,1.61,204,176,294,9,326.3,75.6,3153.48,12,,136.3,122.5,,
ch16,1,4,1.2,19,N,0.54,77,165,165,9,40.6,,1820.06,,,18.7,0,,
ch16,1,5,1.1,23,W,1.14,155,174,220,18,117.82,,4494.01,,,92,10.9,,
ch16,2,1,1.1,34,SW,0.63,113,233,225.5,3,46.6,,1728.58,,,25.5,0,,
ch16,2,2,1.1,33,N,1.91,240,229,265,33,380.5,78,3097.15,7,,162.5,199.4,,
ch16,2,3,1.1,37,W,1.05,136,253,299,12,106.9,79.1,3091.79,,,74,0,,
ch16,2,4,1.2,27,E,0.66,110,202.5,203.5,3,61.3,,2427.33,,,27.4,0,,
ch16,2,5,1.2,36,S,1.58,215,266.5,372.5,37,262.4,75.4,3109.2,28.4,,144,113.4,,
ch16,3,1,1.1,47,NW,2.05,250,352,563,36,549.3,77.8,3079.55,39.9,,266.2,341.5,,
ch16,3,2,1.2,48,S,1.25,176,365.5,467,19,138.6,73.7,3017.04,24,,131.6,0,,
ch16,3,3,1.1,42,N,0.87,149,303,491,11,98,79.8,3177.3,4.1,,65.2,0,,
ch16,3,4,1.2,47,E,1.56,205,356,336,28,287.3,78,3067.94,44.9,,155.5,131.1,,
ch16,3,5,1.1,45,SWW,0.88,123,336,394,12,75,,2870.92,1.1,,57.6,0,,
ch16,4,1,1.1,54,E,2.06,238,412.5,617,38,482.2,79.4,3160.76,55.2,,221.9,318.8,,
ch16,4,2,1.1,59,W,0.99,158,456,394,15,132.9,84.41,3291.52,9.5,,75.6,7.6,,
ch16,4,3,1.1,61,N,1.32,182,459.5,579,23,196,76.7,3025.35,19.6,,127.3,67.1,,
ch16,4,4,1.1,56,S,1.66,211,431,602,31,312.4,72.1,3050.44,15.1,,148,167,,
ch16,4,5,1.1,62,NW,0.45,76,467,505,1,22.9,,847.5,,,10.5,0,,
ch16,5,1,1.1,67,S,0.69,104,507.5,566,8,68.5,,2625.17,,,33.6,0,,
ch16,5,2,1.1,68,E,1.08,161,517,649,22,138.6,86.3,3398.21,11.5,,123,6,,
ch16,5,3,1.1,69,W,0.58,105,524,564,6,43.3,,1749.01,0.9,,22.4,24.8,,
ch16,5,4,1.1,70,NNW,0.83,124,532.5,579,11,103.4,,4023.6,4.5,,63.7,0,,
ch16,5,5,1.1,72,SE,1.14,160,547,685,22,152.9,74.1,2865.96,13.6,,121.5,0,,
ch17,1,1,1,21,NEE,2.87,283,121.5,326,35,625,79.8,2902.91,1736,,324,650,,Sap flow
ch17,1,2,1,22,SE,2.62,268,132.5,349,38,734,82.4,2928.23,,,???,619,,
ch17,1,3,1,23,W,2.08,216,136.5,296,26,352.4,90.3,3328.14,,,148.1,300.5,,
ch17,1,4,1,26,N,0.52,72,181,195,3,15.8,,619.52,,,12.15,0,,Lot of old leaves almost falling off
