chamber,stemnumber,branchnumber,diameter,length,heightfloor,heightground,tipheightfloor,tipheightground,comments
ch01,1.2,7,5.81,88,237,282,150,195,
ch01,1.2,8,3.82,66,243,288,181,226,
ch01,1.2,9,5.52,112,248,293,152,197,
ch01,1.2,10,3.45,70,255,300,185,230,
ch01,1.2,11,8.35,137,260,305,193,238,
ch01,1.2,12,8.45,113,268,313,224,269,
ch01,1.2,13,6.61,81,274,319,214,259
ch01,1.2,14,7.57,83,282,327,220,265
ch01,1.2,15,10.84,133,288,333,255,300
ch01,1.2,16,8.03,105,298,343,244,289
ch01,1.2,17,5.9,87,306,351,217,262
ch01,1.2,18,5.44,81,313,358,258,303
ch01,1.2,19,4.41,83,317,362,244,289
ch01,1.2,20,9.91,110,325,370,321,366
ch01,1.2,21,3.78,88,330,375,256,301
ch01,1.2,22,7.91,109,337,382,347,392
ch01,1.2,23,6.44,77,343,388,288,333
ch01,1.2,24,5.48,74,351,396,300,345
ch01,1.2,25,7.04,102,358,403,332,377
ch01,1.2,26,5.26,78,367,412,303,348
ch01,1.2,27,5.92,94,373,418,415,460
ch01,1.2,28,7.4,96,379,424,347,392
ch01,1.2,29,7.42,98,384,429,393,438,
ch01,1.2,30,7.67,119,389,434,549,594,
ch01,1.2,31,4.32,60,416,461,424,469,
ch01,1.2,32,3.79,53,425,470,422,467,
ch01,1.2,33,3.48,56,438,483,549,594,
ch01,1.2,34,3.78,55,442,487,442,487,
ch01,1.2,35,4.24,52,451,496,476,521,
ch01,1.2,36,2.26,45,459,504,463,508,
ch01,1.2,37,2.28,44,468,513,480,525,
ch01,1.2,38,2.85,34,473,518,478,523,
ch01,1.2,39,2.29,38,484,529,470,515,
ch01,1.2,40,2.27,25,492,537,,,
ch01,1.2,41,2.13,,,,,,
ch01,1.2,42,1.29,,,,,,
ch02,1,1,5.53,70,7,52,0,45,
ch02,1,2,7.47,18,9,54,0,45,very short branch: check original sheets
ch02,1,3,5.57,80.5,12,57,0,45,
ch02,1,4,5.495,80.5,15,60,0,45,
ch02,1,5,6.745,20,18,63,12,57,very short branch: check original sheets
ch02,1,6,5.875,90,20.1,65.1,0,45,
ch02,1,7,6.325,90.2,25,70,0,45,
ch02,1,8,6.185,74,34,79,12,57,
ch02,1,9,7.045,98,36,81,0,45,
ch02,1,10,7.545,47,47,92,0,45,
ch02,1,11,6.93,100,54,99,20,65,
ch02,1,12,7.385,92,67,112,0,45,
ch02,1,13,6.725,85,70,115,18,63,
ch02,1,14,7.505,100,79,124,0,45,
ch02,1,15,7.485,99,86,131,20,65,
ch02,1,16,8.58,98,100,145,30,75,
ch02,1,17,10.93,102,103,148,30,75,
ch02,1,18,8.805,100,114,159,40,85,
ch02,1,19,8.815,105,119.5,164.5,55,100
ch02,1,20,8.575,98,129.5,174.5,56,101
ch02,1,21,9.975,103,135,180,65,110
ch02,1,22,10.36,112,142,187,80,125
ch02,1,23,10.525,111,147,192,78,123
ch02,1,24,8.275,91,154,199,83,128
ch02,1,25,11.06,102,158,203,100,145
ch02,1,26,8.83,98,166,211,97,142
ch02,1,27,9.31,97,170,215,122,167
ch02,1,28,7.235,86,177,222,122,167
ch02,1,29,10.23,88,182,227,118,163
ch02,1,30,8.945,91,182,227,127,172
ch02,1,31,4.265,60,186,231,140,185
ch02,1,32,8.365,90,191,236,150,195
ch02,1,33,9.895,84,196,241,157,202
ch02,1,34,9.58,95,200,245,166.5,211.5
ch02,1,35,9.265,88,206,251,160,205,
ch02,1,36,4.8,70,210,255,170,215,
ch02,1,37,10.425,96,217,262,167,212,
ch02,1,38,5.335,70,221,266,182,227,
ch02,1,39,4.83,72,229,274,187,232,
ch02,1,40,9.245,108,238,283,216,261,
ch02,1,41,6.67,71,241,286,209,254,
ch02,1,42,16.23,157,251,296,392,437,
ch02,1,43,11.045,124,252,297,282,327,
ch02,1,44,13.33,132,259,304,301,346,
ch02,1,45,11.095,121,266,311,300,345,
ch02,1,46,12.385,142,269,314,328,373,
ch02,1,47,5.53,71,275,320,248,293,
ch02,1,48,6.515,84,285,330,270,315,
ch02,1,49,8.18,97,291,336,333,378,
ch02,1,50,8.365,110,299,344,337.5,382.5,Obvious typo in D corrected (was 11) (RAD)
ch02,1,51,4.76,64,308,353,258,303,
ch02,1,52,7.5,94,323,368,332.4,377.4,very short branch: check original sheets
ch02,1,53,8.115,105,336,381,401.5,446.5,
ch02,1,54,7.29,100,350,395,428,473,
ch02,1,55,5.385,80,362,407,343,388,
ch02,1,56,5.475,82,373,418,396.3,441.3,
ch02,1,57,6.135,67,385,430,421,466,
ch02,1,58,5.515,71,395,440,463,508,
ch02,1,59,4.955,60,405,450,435.5,480.5,
ch02,1,60,3.735,47,414,459,432,477,
ch02,1,61,3.2,40,424,469,412,457,
ch02,1,62,3.315,39,430,475,455,500,
ch02,1,63,3.51,34,437,482,443.5,488.5,
ch02,1,64,3.05,26,447,492,434,479,
ch02,1,65,3.265,22,456,501,479,524,
ch02,1,66,2.37,14,466,511,468,513,
ch02,1,67,1.935,10,476,521,482,527
ch03,1,1,4.49,47,10,55,0,45
ch03,1,2,3.145,43,12,57,0,45
ch03,1,3,3.595,52,17.5,62.5,0,45
ch03,1,4,6.045,86,18.5,63.5,0,45
ch03,1,5,6.515,60,23.5,68.5,0,45
ch03,1,6,5.32,79,25,70,0,45
ch03,1,7,3.2,50,28.5,73.5,22,67
ch03,1,8,9.485,117,31,76,0,45
ch03,1,9,8.58,99,36.5,81.5,0,45
ch03,1.1,1,2.635,28,46,91,20,65
ch03,1.1,2,2.03,30,50.5,95.5,19,64
ch03,1.1,3,3.19,62,57.5,102.5,0,45
ch03,1.1,4,3.51,40,67.5,112.5,39,84
ch03,1.1,5,3.61,40,72.5,117.5,42,87
ch03,1.1,6,4.545,84,80.5,125.5,7,52
ch03,1.1,7,4.67,66,90.5,135.5,28,73
ch03,1.1,8,3.105,27,98.5,143.5,74.5,119.5
ch03,1.1,9,6.185,77.5,107.5,152.5,58,103
ch03,1.1,10,2.36,30,113.5,158.5,110,155
ch03,1.1,11,4.105,57,121.5,166.5,59,104
ch03,1.1,12,2.61,29,127,172,100,145
ch03,1.1,13,3.135,37,138,183,98,143
ch03,1.1,14,3.465,45,140,185,101,146
ch03,1.1,15,5.735,82,144,189,63,108
ch03,1.1,16,2.665,38.1,149.5,194.5,106,151
ch03,1.1,17,9.05,123,155.5,200.5,68,113
ch03,1.1,18,3.66,40,163.5,208.5,134,179
ch03,1.1,19,9.85,118,169.5,214.5,113,158
ch03,1.1,20,4.75,84,178,223,126,171
ch03,1.1,21,5.595,112,182.5,227.5,107,152
ch03,1.1,22,4.665,80,185,230,127,172
ch03,1.1,23,5.555,103,188.5,233.5,104,149
ch03,1.1,24,5.85,79,194.5,239.5,140,185
ch03,1.1,25,9.99,118,198.5,243.5,98,143
ch03,1.1,26,4.43,56,199,244,166,211
ch03,1.1,27,9.03,96,201,246,131,176
ch03,1.1,28,6.035,79,206.5,251.5,162,207
ch03,1.1,29,5.48,91,209.5,254.5,140,185
ch03,1.1,30,5.05,57,215.5,260.5,172,217
ch03,1.1,31,10.735,104,220.5,265.5,170,215
ch03,1.1,32,4.06,57,228,273,172,217
ch03,1.1,33,9.2,94,232,277,170,215
ch03,1.1,34,6.475,92,238,283,169,214
ch03,1.1,35,18.445,182,240,285,412,457
ch03,1.1,36,7.26,87,249.5,294.5,207,252
ch03,1.1,37,7.13,75,255,300,214,259
ch03,1.1,38,6.545,76,263,308,200,245
ch03,1.1,39,10,102,269,314,198,243
ch03,1.1,40,8.555,90,273,318,220,265
ch03,1.1,41,6.835,73,279.5,324.5,249,294
ch03,1.1,42,7.495,75,291.5,336.5,247,292
ch03,1.1,43,11.05,88,294.5,339.5,240,285
ch03,1.1,44,12.81,94,306.5,351.5,285,330
ch03,1.1,45,7.325,76,315,360,319,364
ch03,1.1,46,10.925,90,325.5,370.5,354,399
ch03,1.1,47,12.15,109,334,379,374,419
ch03,1.1,48,11.76,116,344.5,389.5,393,438
ch03,1.1,49,7.02,55,354.5,399.5,380,425
ch03,1.1,50,6.33,73,367,412,369,414
ch03,1.1,51,8.295,83,377.5,422.5,400,445
ch03,1.1,52,6.5,70,394,439,362,407
ch03,1.1,53,6.45,60,403,448,410,455
ch03,1.1,54,5.56,53,418.5,463.5,411,456
ch03,1.1,55,4.86,60,424,469,444,489,
ch03,1.1,56,4.795,42,430.5,475.5,435,480,
ch03,1.1,57,3.975,55,434.5,479.5,445,490,
ch03,1.1,58,3.035,40,440.5,485.5,457,502,
ch03,1.1,59,2.685,28,445.5,490.5,444,489,
ch03,1.1,60,2.365,30,450,495,451,496,
ch03,1.1,61,1.305,11,451.5,496.5,455,500,
ch03,1.1,62,1.68,8,460.5,505.5,447,492,
ch03,1.1,63,1.575,14,470.5,515.5,479,524,
ch03,1.1,64,1.525,7,480.5,525.5,464,509,
ch03,1.2,1,2.43,55,42,87,0,45,Stem 1.2 fork bends horizontally (unnatural architecture due to ladder)
ch03,1.2,2,11.79,116,45,90,0,45,
ch03,1.2,3,10.35,101,64,109,0,45,
ch03,1.2,4,2.97,26,55,100,58,103,
ch03,1.2,5,10.725,110,59,104,0,45,
ch03,1.2,6,5.12,92,61,106,0,45,
ch03,1.2,7,12.555,108,72,117,12,57,
ch03,1.2,8,3.94,69,71.5,116.5,44,89,
ch03,1.2,9,3.24,44,75,120,70,115,
ch03,1.2,10,2.97,30,77,122,80,125,
ch03,1.2,11,4.29,70,95,140,54,99,
ch03,1.2,12,10.615,88,89.5,134.5,80,125,
ch03,1.2,13,5.245,57,99.5,144.5,80,125,
ch03,1.2,14,4.775,59,97.5,142.5,77,122,
ch03,1.2,15,16.1,115,102.5,147.5,31,76,
ch03,1.2,16,3.37,44,111.5,156.5,94,139,
ch03,1.2,17,6.87,95,117.5,162.5,57,102,
ch03,1.2,18,5.545,89,122.5,167.5,56,101,
ch03,1.2,19,2.425,28,124,169,110,155,
ch03,1.2,20,5.15,75,127,172,70,115,
ch03,1.2,21,2.295,87,134.5,179.5,210,255,
ch03,1.2,22,11.405,87,130,175,93,138,Branch D wrong; set from 47. (RAD)
ch03,1.2,23,3.085,91,137,182,72,117,very short branch: check original sheets
ch03,1.2,24,6.5,53,133,178,98,143,
ch03,1.2,25,2.965,57,135,180,87,132,
ch03,1.2,26,4.97,80,140,185,70,115,
ch03,1.2,27,3.37,60,143,188,72,117,
ch03,1.2,28,4.525,54,147,192,72,117,
ch03,1.2,29,4.5,46,152,197,52,97,
ch03,1.2,30,6.63,70,154,199,100,145,
ch03,1.2,31,4.815,54,158,203,92,137,
ch03,1.2,32,3.69,60,162,207,80,125,
ch03,1.2,33,3.9,35,166.5,211.5,17,62,
ch03,1.2,34,3.775,36,169,214,108,153,
ch03,1.2,35,3.565,57,175,220,91,136,
ch03,1.2,36,4.91,50,179,224,16,61,
ch03,1.2,37,4.04,41,184,229,171,216,
ch03,1.2,38,3.2,30,189,234,140,185,
ch03,1.2,39,3.04,43,195,240,118,163
ch03,1.2,40,3.13,30,202,247,138,183
ch03,1.2,41,2.835,31,208,253,137,182
ch03,1.2,42,2.975,35,214,259,144,189
ch03,1.2,43,2.365,21,219,264,153,198
ch03,1.2,44,1.855,15,224,269,156,201
ch03,1.2,45,1.51,15,223,268,156,201
ch04,1,1,12.45,125,12,57,0,45
ch04,1,,,,,45,,45
ch04,1,2,7.03,64,19,64,0,45
ch04,1,3,6.72,100,23,68,0,45
ch04,1,4,10.72,130,26,71,0,45
ch04,1,5,4.55,66,28,73,0,45
ch04,1,6,7.59,80,36,81,0,45
ch04,1,7,8,83,38,83,0,45
ch04,1.1.1,1,5.92,65,72,117,10,55
ch04,1.1.1,2,3.5,55,73,118,30,75,
ch04,1.1.1,3,4.11,40,75,120,36,81,
ch04,1.1.1,4,1.48,9,,,,45,dead
ch04,1.1.1,5,7.35,85,80,125,39,84,
ch04,1.1.1,6,10.77,130,88,133,0,45,
ch04,1.1.1,7,7.72,80,90,135,32,77,
ch04,1.1.1,8,8.12,90,94,139,50,95,
ch04,1.1.1,9,3,44,102,147,62,107,
ch04,1.1.1,10,6.95,46,106,151,71,116,
ch04,1.1.1,11,5.1,50,112,157,72,117,
ch04,1.1.1,12,4.61,60,116,161,66,111,
ch04,1.1.1,13,6.01,38,118,163,88,133,
ch04,1.1.1,14,4.2,53,119,164,80,125,
ch04,1.1.1,15,4.77,50,122,167,114,159,
ch04,1.1.1,16,6.73,60,125,170,98,143,
ch04,1.1.1,17,6.84,64,130,175,88,133,
ch04,1.1.1,18,5.75,83,136,181,90,135
ch04,1.1.1,19,7.05,70,140,185,127,172
ch04,1.1.1,20,8.75,97,146,191,172,217
ch04,1.1.1,21,5.99,70,152,197,125,170
ch04,1.1.1,22,8.29,98,156,201,180,225
ch04,1.1.1,23,7.36,55,164,209,132,177
ch04,1.1.1,24,4.55,53,167,212,135,180
ch04,1.1.1,25,6.87,58,173,218,141,186
ch04,1.1.1,26,4.8,70,179,224,159,204
ch04,1.1.1,27,4.18,43,183,228,153,198
ch04,1.1.1,28,8.75,88,192,237,241,286
ch04,1.1.1,29,7.66,80,202,247,259,304
ch04,1.1.1,30,7.18,68,211,256,268,313
ch04,1.1.1,31,4.42,47,218,263,215,260
ch04,1.1.1,32,8.09,72,225,270,303,348
ch04,1.1.1,33,4.45,54,231,276,244,289
ch04,1.1.1,34,5.36,57,239,284,295,340,
ch04,1.1.1,35,2.78,30,244,289,246,291,
ch04,1.1.1,36,3.11,28,242,287,256,301,
ch04,1.1.1,37,4.07,40,251,296,292,337,
ch04,1.1.1,38,4.23,36,254,299,245,290,
ch04,1.1.1,39,2.34,12,256,301,,45,
ch04,1.1.1,40,2.75,45,258,303,298,343,
ch04,1.1.1,41,3.07,42,264,309,306,351,
ch04,1.1.1,42,1.93,6,275,320,310,355,
ch04,1.1.1,43,2.23,18,281,326,318,363,
ch04,1.1.1,44,2.78,13,285,330,317,362,
ch04,1.1.1,45,2.43,9,293,338,315,360,
ch04,1.1.1,46,1.24,4,296,341,313,358,
ch04,1.1.2,1,5.84,52,72,117,10,55,
ch04,1.1.2,2,4.78,53,78,123,20,65,
ch04,1.1.2,3,16.3,125,80,125,30,75,branch lengths fixed to original sheets (RAD)
ch04,1.1.2,4,4.77,48,87,132,146,191,
ch04,1.1.2,5,3.93,48,90,135,44,89,
ch04,1.1.2,6,4.85,52,96,141,58,103,
ch04,1.1.2,7,3.45,25,,,,,missing
ch04,1.1.2,8,2.5,16,102,147,84,129,
ch04,1.1.2,9,3.74,50,108,153,74,119,
ch04,1.1.2,10,2.88,26,109,154,92,137,
ch04,1.1.2,11,2.64,8,,,,,dead
ch04,1.1.2,12,4.8,70,115,160,70,115,
ch04,1.1.2,13,4.52,49,129,174,102,147,
ch04,1.1.2,14,4.17,48,134,179,124,169,
ch04,1.1.2,15,4.66,62,142,187,96,141,
ch04,1.1.2,16,5.06,54,147,192,149,194,
ch04,1.1.2,17,4.19,45,153,198,150,195,
ch04,1.1.2,18,6.32,70,157,202,137,182,
ch04,1.1.2,19,4.12,55,163,208,125,170,
ch04,1.1.2,20,4.19,58,167,212,138,183
ch04,1.1.2,21,3.23,41,174,219,159,204
ch04,1.1.2,22,4.92,62,182,227,152,197
ch04,1.1.2,23,5.09,46,193,238,175,220
ch04,1.1.2,24,4.67,41,199,244,183,228
ch04,1.1.2,25,4.8,48,210,255,182,227
ch04,1.1.2,26,6.35,55,218,263,204,249
ch04,1.1.2,27,4.05,43,228,273,217,262
ch04,1.1.2,28,5.3,59,229,274,270,315
ch04,1.1.2,29,3.82,43,236,281,260,305
ch04,1.1.2,30,3.61,43,239,284,276,321
ch04,1.1.2,31,2.45,14,243,288,255,300
ch04,1.1.2,32,2.73,19,245,290,273,318
ch04,1.1.2,33,3.39,27,253,298,283,328
ch04,1.1.2,34,2.06,18,255,300,264,309
ch04,1.1.2,35,2.21,18,258,303,285,330
ch04,1.1.2,36,1.88,14,263,308,277,322
ch04,1.1.2,37,1.86,9,268,313,284,329
ch04,1.1.2,38,1.75,8,270,315,277,322
ch04,1.2,1,2.72,39,47,92,15,60
ch04,1.2,2,4.81,64,57,102,11,56
ch04,1.2,3,8.85,92,65,110,0,45
ch04,1.2.1,1,1.93,30,82,127,52,97
ch04,1.2.1,2,6.62,65,83,128,30,75
ch04,1.2.1,3,3.45,40,83,128,53,98
ch04,1.2.1,4,3.75,64,84,129,37,82
ch04,1.2.1,5,4.37,75,85,130,20,65
ch04,1.2.1,6,3.56,71,86,131,21,66
ch04,1.2.1,7,6.34,86,87,132,39,84
ch04,1.2.1,8,5.55,99,90,135,50,95
ch04,1.2.1,9,5.16,86,93,138,43,88
ch04,1.2.1,10,5.43,76,97,142,47,92
ch04,1.2.1,11,3.83,76,102,147,57,102,
ch04,1.2.1,12,2.64,35,107,152,83,128,
ch04,1.2.1,13,3.45,33,114,159,92,137,
ch04,1.2.1,14,4.17,68,121,166,90,135,
ch04,1.2.1,15,4.54,46,127,172,102,147,
ch04,1.2.1,16,5.95,90,134,179,100,145,
ch04,1.2.1,17,3.13,60,136,181,120,165,
ch04,1.2.1,18,5.08,33,146,191,105,150,
ch04,1.2.1,19,3.55,38,149,194,132,177,
ch04,1.2.1,20,4.85,56,150,195,150,195,
ch04,1.2.1,21,4.56,46,163,208,135,180,
ch04,1.2.1,22,2.9,20,173,218,173,218,
ch04,1.2.1,23,5.68,63,181,226,199,244,
ch04,1.2.1,24,5.47,26,192,237,188,233,
ch04,1.2.1,25,5.63,50,198,243,,,broken
ch04,1.2.1,26,7.72,75,207,252,299,344,
ch04,1.2.1,27,6.78,53,211,256,230,275,
ch04,1.2.1,28,4.29,60,221,266,256,301,
ch04,1.2.1,29,4.16,52,223,268,218,263,
ch04,1.2.1,30,4.04,57,228,273,259,304,
ch04,1.2.1,31,3.96,48,231,276,201,246,
ch04,1.2.1,32,2.75,34,235,280,241,286,
ch04,1.2.1,33,2.03,12,236,281,246,291,
ch04,1.2.1,34,2.76,37,242,287,250,295,
ch04,1.2.1,35,2.18,29,248,293,270,315,
ch04,1.2.1,36,2.64,37,251,296,305,350,
ch04,1.2.1,37,3.35,28,257,302,297,342,
ch04,1.2.1,38,2.56,25,261,306,302,347,
ch04,1.2.1,39,1.99,18,269,314,304,349,
ch04,1.2.1,40,2.04,18,273,318,316,361,
ch04,1.2.1,41,,,282,327,308,353,too high to measure
ch04,1.2.1,42,,,301,346,315,360,too high to measure
ch04,1.2.2,1,9.93,100,86,131,81,126
ch04,1.2.2,2,3.44,40,92,137,39,84
ch04,1.2.2,3,2.88,68,92,137,62,107
ch04,1.2.2,4,3.05,37,93,138,65,110
ch04,1.2.2,5,4.83,60,100,145,51,96
ch04,1.2.2,6,2.81,32,102,147,100,145
ch04,1.2.2,7,4.23,60,109,154,62,107
ch04,1.2.2,8,4.13,45,110,155,72,117
ch04,1.2.2,9,4.22,50,115,160,82,127
ch04,1.2.2,10,3.2,40,122,167,110,155
ch04,1.2.2,11,2.7,40,126,171,118,163
ch04,1.2.2,12,3.33,60,134,179,90,135
ch04,1.2.2,13,4.94,57,140,185,94,139
ch04,1.2.2,14,3.21,32,144,189,144,189
ch04,1.2.2,15,4.65,50,148,193,140,185
ch04,1.2.2,16,5.84,64,153,198,122,167
ch04,1.2.2,17,4.01,40,164,209,150,195
ch04,1.2.2,18,4.7,49,174,219,141,186
ch04,1.2.2,19,4.36,50,182,227,167,212
ch04,1.2.2,20,4.48,48,194,239,159,204
ch04,1.2.2,21,4.58,48,201,246,194,239
ch04,1.2.2,22,5.14,42,209,254,202,247
ch04,1.2.2,23,4.17,31,213,258,217,262
ch04,1.2.2,24,3.01,32,218,263,247,292
ch04,1.2.2,25,2.45,37,226,271,212,257
ch04,1.2.2,26,3.83,33,227,272,248,293
ch04,1.2.2,27,2.33,31,232,277,270,315
ch04,1.2.2,28,2.66,36,237,282,292,337
ch04,1.2.2,29,2.78,30,239,284,275,320
ch04,1.2.2,30,2.59,25,243,288,287,332
ch04,1.2.2,31,2.63,19,245,290,283,328
ch04,1.2.2,32,1.96,12,252,297,281,326
ch04,1.2.2,33,1.47,8,255,300,270,315,
ch04,1.2.2,34,,,267,312,291,336,too high to measure
ch04,1.2.2,35,,,265,310,285,330,too high to measure
ch04,1.2.2,36,,,272,317,283,328,too high to measure
ch05,1,1,4.22,41,11,56,0,45,
ch05,1,2,,,,,,,broken
ch05,1,3,,,,,,,broken
ch05,1,4,4.34,74,14,59,0,45,
ch05,1,5,3.37,,22,67,16,61,
ch05,1,6,5.85,62,25,70,6,51,
ch05,1,7,3.376,48,30,75,6,51,
ch05,1,8,5.18,90,34,79,0,45,
ch05,1,9,5.68,66,41,86,0,45,
ch05,1,10,7.09,108,47,92,0,45,
ch05,1,11,8.53,110,57,102,0,45,
ch05,1,12,10.92,145,62,107,0,45,
ch05,1,13,7.22,118,72,117,0,45
ch05,1,14,11.66,134,79,124,0,45
ch05,1,15,8.01,113,87,132,0,45
ch05,1,16,13.14,159,93,138,17,62
ch05,1,17,8.86,107,103,148,0,45
ch05,1,18,11.06,122,108,153,0,45
ch05,1,19,6.19,92,118,163,31,76
ch05,1,20,21.61,226,125,170,221,266
ch05,1,21,9.22,122,136,181,28,73
ch05,1,22,8.02,78,141,186,65,110
ch05,1,23,7.77,99,156,201,48,93
ch05,1.1,1,4.99,80,177,222,118,163
ch05,1.1,2,5.39,97,180,225,129,174
ch05,1.1,3,5.2,70,183,228,112,157
ch05,1.1,4,5.27,78,190,235,126,171
ch05,1.1,5,7.19,98,202,247,127,172
ch05,1.1,6,7.14,68,211,256,182,227
ch05,1.1,7,8.65,109,220,265,207,252
ch05,1.1,8,5.85,78,230,275,179,224
ch05,1.1,9,5.31,82,238,283,172,217
ch05,1.1,10,5.75,89,249,294,169,214
ch05,1.1,11,6.86,85,252,297,220,265
ch05,1.1,12,8.04,102,262,307,204,249
ch05,1.1,13,6.61,83,269,314,250,295
ch05,1.1,14,10.38,106,278,323,282,327
ch05,1.1,15,8.44,92,281,326,240,285
ch05,1.1,16,8.14,105,293,338,282,327
ch05,1.1,17,5.79,75,298,343,301,346
ch05,1.1,18,9.89,110,313,358,343,388
ch05,1.1,19,9.06,104,320,365,290,335
ch05,1.1,20,7.59,110,329,374,398,443
ch05,1.1,21,7.38,80,347,392,420,465
ch05,1.1,22,5.63,78,355,400,420,465,
ch05,1.1,23,4.77,66,364,409,390,435,
ch05,1.1,24,4.44,65,370,415,401,446,
ch05,1.1,25,1.92,,375,420,,45,
ch05,1.1,26,3.94,50,391,436,400,445,
ch05,1.1,27,3.22,57,393,438,410,455,
ch05,1.1,28,3.71,54,400,445,436,481,
ch05,1.1,29,3.08,40,405,450,435,480,
ch05,1.1,30,3.67,41,412,457,455,500,
ch05,1.1,31,2.86,33,421,466,435,480,branch number fixed (RAD)
ch05,1.1,32,3.54,20,436,481,454,499,
ch05,1.1,33,3.24,22,442,487,454,499,
ch05,1.1,34,2.12,14,445,490,466,511,
ch05,1.1,35,2.3,10,448,493,454,499,
ch05,1.1,36,2.8,6,456,501,474,519,
ch05,1.2.1,1,11.88,160,177,222,174,219,
ch05,1.2.1,2,7.13,93,179,224,122,167,
ch05,1.2.1,3,5.39,80,183,228,126,171,
