"treatment","Date","CO2cum","TBCA","leafC","LAestlin","CO2_treatment","Water_treatment"
"ambient-dry",2008-08-02,3873.23,2348.04,107.94,28.217151109944,"ambient","dry"
"ambient-dry",2008-08-03,3923.43,2384.59,108.59,28.2265182748303,"ambient","dry"
"ambient-dry",2008-08-04,3964.49,2412,109.23,28.2358920322187,"ambient","dry"
"ambient-dry",2008-08-05,4001.62,2435.48,109.88,28.2452723788316,"ambient","dry"
"ambient-dry",2008-08-06,4036.57,2456.78,110.53,28.2546593113965,"ambient","dry"
"ambient-dry",2008-08-07,4071.43,2478.76,110.41,28.2517869143905,"ambient","dry"
"ambient-dry",2008-08-08,4111.55,2506,110.28,28.2489210968063,"ambient","dry"
"ambient-dry",2008-08-09,4164.99,2546.57,110.15,28.246061855386,"ambient","dry"
"ambient-dry",2008-08-10,4203.5,2572.2,110.03,28.243209186877,"ambient","dry"
"ambient-dry",2008-08-11,4256.74,2612.56,109.91,28.2403630880315,"ambient","dry"
"ambient-dry",2008-08-12,4309.48,2652.42,109.78,28.2375235556064,"ambient","dry"
"ambient-dry",2008-08-13,4358.84,2688.91,109.65,28.2346905863637,"ambient","dry"
"ambient-dry",2008-08-14,4410.96,2728.15,109.53,28.2318641770703,"ambient","dry"
"ambient-dry",2008-08-15,4464.31,2768.62,109.41,28.2290443244979,"ambient","dry"
"ambient-dry",2008-08-16,4518.07,2809.5,109.29,28.2262310254231,"ambient","dry"
"ambient-dry",2008-08-17,4571.24,2849.79,109.16,28.2234242766274,"ambient","dry"
"ambient-dry",2008-08-18,4691.86,2957.53,109.04,28.2206240748968,"ambient","dry"
"ambient-dry",2008-08-19,4756.1,3008.88,108.93,28.2178304170227,"ambient","dry"
"ambient-dry",2008-08-20,4800.96,3040.86,108.81,28.2150432998008,"ambient","dry"
"ambient-dry",2008-08-21,4840.18,3067.38,108.5,28.2114722302806,"ambient","dry"
"ambient-dry",2008-08-22,4855.21,3069.71,108.2,28.2079053737178,"ambient","dry"
"ambient-dry",2008-08-23,4897.07,3098.87,107.9,28.2043427276886,"ambient","dry"
"ambient-dry",2008-08-24,4958.16,3147.26,107.6,28.2007842897726,"ambient","dry"
"ambient-dry",2008-08-25,5017.55,3193.95,107.29,28.1972300575529,"ambient","dry"
"ambient-dry",2008-08-26,5074.97,3238.66,107,28.1936800286167,"ambient","dry"
"ambient-dry",2008-08-27,5115.89,3266.88,106.7,28.1901342005548,"ambient","dry"
"ambient-dry",2008-08-28,5151.46,3289.75,106.4,28.1865925709616,"ambient","dry"
"ambient-dry",2008-08-29,5209.73,3335.31,106.11,28.1830551374353,"ambient","dry"
"ambient-dry",2008-08-30,5251.61,3364.49,105.8,28.1795218975777,"ambient","dry"
"ambient-dry",2008-08-31,5282.25,3382.43,105.5,28.1759928489944,"ambient","dry"
"ambient-dry",2008-09-01,5342.09,3429.56,105.21,28.1724679892944,"ambient","dry"
"ambient-dry",2008-09-02,5400.99,3475.76,104.91,28.1689473160907,"ambient","dry"
"ambient-dry",2008-09-03,5435.39,3497.46,104.6,28.1654308269996,"ambient","dry"
"ambient-dry",2008-09-04,5468.58,3517.94,104.31,28.1619185196413,"ambient","dry"
"ambient-dry",2008-09-05,5475.62,3512.28,104.01,28.1584103916396,"ambient","dry"
"ambient-dry",2008-09-06,5494.53,3518.48,103.72,28.1549064406218,"ambient","dry"
"ambient-dry",2008-09-07,5552.86,3564.11,103.41,28.1514066642188,"ambient","dry"
"ambient-dry",2008-09-08,5613.85,3612.39,103.12,28.1479110600652,"ambient","dry"
"ambient-dry",2008-09-09,5677.7,3663.54,102.82,28.1444196257991,"ambient","dry"
"ambient-dry",2008-09-10,5745.35,3718.48,102.53,28.1409323590624,"ambient","dry"
"ambient-dry",2008-09-11,5805.87,3766.29,102.24,28.1374492575004,"ambient","dry"
"ambient-dry",2008-09-12,5865.59,3813.31,101.93,28.1339703187618,"ambient","dry"
"ambient-dry",2008-09-13,5913.64,3848.65,101.64,28.1304955404992,"ambient","dry"
"ambient-dry",2008-09-14,5950.43,3872.73,101.35,28.1270249203685,"ambient","dry"
"ambient-dry",2008-09-15,6013.17,3922.77,101.05,28.1235584560294,"ambient","dry"
"ambient-dry",2008-09-16,6072.9,3969.79,100.75,28.1200961451448,"ambient","dry"
"ambient-dry",2008-09-17,6116.69,4000.87,100.46,28.1166379853815,"ambient","dry"
"ambient-dry",2008-09-18,6182.51,4033.1,96.8799999999997,28.0601455357981,"ambient","dry"
"ambient-dry",2008-09-19,6247.88,4064.88,93.3000000000002,28.0036729715155,"ambient","dry"
"ambient-dry",2008-09-20,6301.04,4084.45,89.7200000000003,27.9472203077848,"ambient","dry"
"ambient-dry",2008-09-21,6374.03,4123.85,86.1399999999999,27.8907875598906,"ambient","dry"
"ambient-dry",2008-09-22,6430.34,4146.57,82.5700000000002,27.8343747431505,"ambient","dry"
"ambient-dry",2008-09-23,6458.43,4141.06,79,27.7779818729158,"ambient","dry"
"ambient-dry",2008-09-24,6535.65,4184.69,75.4200000000001,27.7216089645711,"ambient","dry"
"ambient-dry",2008-09-25,6614.61,4230.05,71.8499999999999,27.6652560335349,"ambient","dry"
"ambient-dry",2008-09-26,6686.74,4268.58,68.2799999999997,27.6089230952593,"ambient","dry"
"ambient-dry",2008-09-27,6751.48,4300.19,64.2399999999998,27.5456686952183,"ambient","dry"
"ambient-dry",2008-09-28,6799.42,4314.99,60.21,27.4824343189442,"ambient","dry"
"ambient-dry",2008-09-29,6859.77,4342.2,56.1800000000003,27.4192199819912,"ambient","dry"
"ambient-dry",2008-09-30,6940.96,4390.25,52.1500000000001,27.3560256999479,"ambient","dry"
"ambient-dry",2008-10-01,7008.78,4424.93,48.1199999999999,27.2928514884373,"ambient","dry"
"ambient-dry",2008-10-02,7062.83,4434.47,55.46,27.4102194263959,"ambient","dry"
"ambient-dry",2008-10-03,7109.33,4436.44,62.8199999999997,27.5277355693361,"ambient","dry"
"ambient-dry",2008-10-04,7128.9,4411.48,70.1900000000001,27.6453995735399,"ambient","dry"
"ambient-dry",2008-10-05,7158.13,4396.17,77.5599999999999,27.7632110975464,"ambient","dry"
"ambient-dry",2008-10-06,7215.61,4409.1,84.9400000000001,27.8811698021266,"ambient","dry"
"ambient-dry",2008-10-07,7305.81,4454.74,92.3300000000004,27.9992753502582,"ambient","dry"
"ambient-dry",2008-10-08,7381.81,4486.16,99.7400000000002,28.1175274071014,"ambient","dry"
"ambient-dry",2008-10-09,7460.03,4519.8,107.15,28.2359256399743,"ambient","dry"
"ambient-dry",2008-10-10,7537.5,4552.68,114.57,28.3544697183291,"ambient","dry"
"ambient-dry",2008-10-11,7598.56,4570.42,120.72,28.4539520594099,"ambient","dry"
"ambient-dry",2008-10-12,7681.31,4609.83,126.89,28.5535795911871,"ambient","dry"
"ambient-dry",2008-10-13,7762.93,4648.1,133.07,28.6533519893768,"ambient","dry"
"ambient-dry",2008-10-14,7790.28,4632.09,139.26,28.7532689317379,"ambient","dry"
"ambient-dry",2008-10-15,7830.55,4629.96,144.5,28.8378304240283,"ambient","dry"
"ambient-dry",2008-10-16,7921.61,4678.62,149.73,28.9225179263948,"ambient","dry"
"ambient-dry",2008-10-17,8006.64,4721.23,154.98,29.0073311997959,"ambient","dry"
"ambient-dry",2008-10-18,8087.33,4759.5,160.23,29.0922700064167,"ambient","dry"
"ambient-dry",2008-10-19,8164.85,4794.58,165.5,29.1773341096592,"ambient","dry"
"ambient-dry",2008-10-20,8247.48,4834.77,170.77,29.2625232741315,"ambient","dry"
"ambient-dry",2008-10-21,8305.54,4850.38,176.05,29.3478372656381,"ambient","dry"
"ambient-dry",2008-10-22,8383.21,4885.6,181.33,29.4332758511701,"ambient","dry"
"ambient-dry",2008-10-23,8464.93,4924.85,186.63,29.518838798895,"ambient","dry"
"ambient-dry",2008-10-24,8562.74,4980.19,191.93,29.604525878147,"ambient","dry"
"ambient-dry",2008-10-25,8661.93,5039.54,194.6,29.6486007691555,"ambient","dry"
"ambient-dry",2008-10-26,8751.87,5089.63,197.28,29.6927993338217,"ambient","dry"
"ambient-dry",2008-10-27,8825.53,5123.43,199.98,29.737121344923,"ambient","dry"
"ambient-dry",2008-10-28,8911,5169.04,202.67,29.7815665763659,"ambient","dry"
"ambient-dry",2008-10-29,8931.91,5147.54,208.74,29.8848201498561,"ambient","dry"
"ambient-dry",2008-10-30,8997.6,5170.81,214.83,29.9882948766339,"ambient","dry"
"ambient-dry",2008-10-31,9077.16,5207.93,220.94,30.0919899893625,"ambient","dry"
"ambient-dry",2008-11-01,9118.49,5206.81,227.06,30.1959047277289,"ambient","dry"
"ambient-dry",2008-11-02,9186.45,5232.31,233.18,30.3000383383397,"ambient","dry"
"ambient-dry",2008-11-03,9290.5,5293.89,239.32,30.4043900746179,"ambient","dry"
"ambient-dry",2008-11-04,9356.47,5317.37,245.48,30.5089591967033,"ambient","dry"
"ambient-dry",2008-11-05,9455.21,5373.61,251.64,30.6137449713535,"ambient","dry"
"ambient-dry",2008-11-06,9564.27,5440.16,257.82,30.7187466718483,"ambient","dry"
"ambient-dry",2008-11-07,9668.11,5501.47,264.02,30.8239635778948,"ambient","dry"
"ambient-dry",2008-11-08,9699.45,5496.27,264.23,30.8326704901496,"ambient","dry"
"ambient-dry",2008-11-09,9831.82,5592.09,264.44,30.8415911862848,"ambient","dry"
"ambient-dry",2008-11-10,9954.42,5678.13,264.67,30.8507249647424,"ambient","dry"
"ambient-dry",2008-11-11,10069.87,5757,264.92,30.8600711300329,"ambient","dry"
"ambient-dry",2008-11-12,10172.1,5823.86,263.96,30.8466033934637,"ambient","dry"
"ambient-dry",2008-11-13,10287.41,5903.79,263,30.8333642258906,"ambient","dry"
"ambient-dry",2008-11-14,10361.87,5942.85,262.070000000001,30.8203530760817,"ambient","dry"
"ambient-dry",2008-11-15,10411.22,5956.78,261.16,30.8075693963491,"ambient","dry"
"ambient-dry",2008-11-16,10513.28,6023.42,260.25,30.7950126425122,"ambient","dry"
"ambient-dry",2008-11-17,10602.04,6076.73,259.360000000001,30.7826822738606,"ambient","dry"
"ambient-dry",2008-11-18,10705.5,6144.74,258.48,30.7705777531192,"ambient","dry"
"ambient-dry",2008-11-19,10784.06,6187.83,257.62,30.7586985464116,"ambient","dry"
"ambient-dry",2008-11-20,10867.77,6239.73,256.77,30.7470441232261,"ambient","dry"
"ambient-dry",2008-11-21,10981.59,6320.16,257.51,30.7610960983774,"ambient","dry"
"ambient-dry",2008-11-22,11109.76,6414.93,258.25,30.7753718059835,"ambient","dry"
"ambient-dry",2008-11-23,11190.19,6461.94,259.02,30.7898707254214,"ambient","dry"
"ambient-dry",2008-11-24,11328.1,6566.42,259.79,30.8045923392979,"ambient","dry"
"ambient-dry",2008-11-25,11437.4,6642.27,260.58,30.8195361334168,"ambient","dry"
"ambient-dry",2008-11-26,11500.54,6671.95,261.39,30.8347015967471,"ambient","dry"
"ambient-dry",2008-11-27,11604.4,6742.34,262.200000000001,30.8500882213911,"ambient","dry"
"ambient-dry",2008-11-28,11651.17,6755.62,263.04,30.8656955025537,"ambient","dry"
"ambient-dry",2008-11-29,11760.62,6831.57,263.88,30.881522938511,"ambient","dry"
"ambient-dry",2008-11-30,11892.44,6929.88,264.740000000001,30.8975700305808,"ambient","dry"
"ambient-dry",2008-12-01,11995.63,6999.54,265.610000000001,30.9138362830918,"ambient","dry"
"ambient-dry",2008-12-02,12108.38,7078.75,266.5,30.9303212033547,"ambient","dry"
"ambient-dry",2008-12-03,12195.9,7132.71,267.4,30.9470243016329,"ambient","dry"
"ambient-dry",2008-12-04,12292.15,7195.39,268.320000000001,30.9639450911136,"ambient","dry"
"ambient-dry",2008-12-05,12376.08,7248.21,266.77,30.9387333396081,"ambient","dry"
"ambient-dry",2008-12-06,12460.94,7301.94,265.25,30.9137383143389,"ambient","dry"
"ambient-dry",2008-12-07,12551.31,7361.17,263.73,30.888959537097,"ambient","dry"
"ambient-dry",2008-12-08,12666.55,7445.25,262.23,30.8643965324861,"ambient","dry"
"ambient-dry",2008-12-09,12765.81,7513.34,260.75,30.8400488278961,"ambient","dry"
"ambient-dry",2008-12-10,12855.82,7580.54,259.179999999999,30.8180491170603,"ambient","dry"
"ambient-dry",2008-12-11,12907.58,7609.47,257.63,30.7961895497765,"ambient","dry"
"ambient-dry",2008-12-12,12928.9,7607.95,256.08,30.7744694769823,"ambient","dry"
"ambient-dry",2008-12-13,13029.87,7686.06,254.55,30.7528882581998,"ambient","dry"
"ambient-dry",2008-12-14,13160.87,7794.2,253.02,30.7314452613463,"ambient","dry"
"ambient-dry",2008-12-15,13292.69,7903.15,251.5,30.7101398625516,"ambient","dry"
"ambient-dry",2008-12-16,13408.41,7995.99,249.99,30.6889714459805,"ambient","dry"
"ambient-dry",2008-12-17,13519.22,8083.91,248.48,30.6679394036603,"ambient","dry"
"ambient-dry",2008-12-18,13611.94,8153.73,246.99,30.6470431353135,"ambient","dry"
"ambient-dry",2008-12-19,13727.56,8238.11,253.84,30.7602075676115,"ambient","dry"
"ambient-dry",2008-12-20,13851.45,8330.75,260.7,30.8735065957702,"ambient","dry"
"ambient-dry",2008-12-21,13976.9,8424.95,267.559999999999,30.9869396416434,"ambient","dry"
"ambient-dry",2008-12-22,14087.18,8503.96,274.440000000001,31.1005061341589,"ambient","dry"
"ambient-dry",2008-12-23,14166.13,8551.64,281.32,31.2142055091741,"ambient","dry"
"ambient-dry",2008-12-24,14189.43,8538.89,292.98,31.4011643282725,"ambient","dry"
"ambient-dry",2008-12-25,14298.68,8612.06,304.66,31.5885324812124,"ambient","dry"
"ambient-dry",2008-12-26,14390.07,8667.35,316.37,31.7763087673816,"ambient","dry"
"ambient-dry",2008-12-27,14495.57,8736.73,328.1,31.9644919955096,"ambient","dry"
"ambient-dry",2008-12-28,14598.58,8803.58,339.87,32.1530809835501,"ambient","dry"
"ambient-dry",2008-12-29,14701.87,8870.69,351.66,32.3420745585652,"ambient","dry"
"ambient-dry",2008-12-30,14778.85,8911.47,363.47,32.5314715566116,"ambient","dry"
"ambient-dry",2008-12-31,14854.82,8951.21,375.309999999999,32.7212708226291,"ambient","dry"
"ambient-dry",2009-01-01,14932.34,8992.48,387.17,32.9114712103308,"ambient","dry"
"ambient-dry",2009-01-02,15022.64,9046.5,399.05,33.1020715820949,"ambient","dry"
"ambient-dry",2009-01-03,15105.51,9096.15,407.88,33.2425731699862,"ambient","dry"
"ambient-dry",2009-01-04,15189.47,9146.87,416.73,33.3834724922699,"ambient","dry"
"ambient-dry",2009-01-05,15241.47,9165.61,425.599999999999,33.5247684366909,"ambient","dry"
"ambient-dry",2009-01-06,15279.36,9177.29,427.42,33.5499463378058,"ambient","dry"
"ambient-dry",2009-01-07,15344.68,9216.4,429.24,33.5752417416075,"ambient","dry"
"ambient-dry",2009-01-08,15378.24,9223.74,431.07,33.6006544570798,"ambient","dry"
"ambient-dry",2009-01-09,15444.51,9260.89,432.91,33.6261842940809,"ambient","dry"
"ambient-dry",2009-01-10,15539.42,9326.67,434.75,33.651831063337,"ambient","dry"
"ambient-dry",2009-01-11,15636.86,9394.98,436.6,33.6775945764353,"ambient","dry"
"ambient-dry",2009-01-12,15719.71,9448.68,438.469999999999,33.7034746458179,"ambient","dry"
"ambient-dry",2009-01-13,15792.18,9492,440.34,33.7294710847752,"ambient","dry"
"ambient-dry",2009-01-14,15827.43,9498.1,442.21,33.7555837074397,"ambient","dry"
"ambient-dry",2009-01-15,15841.07,9482.57,444.1,33.7818123287796,"ambient","dry"
"ambient-dry",2009-01-16,15901.95,9514.28,445.99,33.8081567645925,"ambient","dry"
"ambient-dry",2009-01-17,15966.02,9554.13,442.93,33.7517302938541,"ambient","dry"
"ambient-dry",2009-01-18,16065.03,9628.92,439.87,33.6954192716481,"ambient","dry"
"ambient-dry",2009-01-19,16115.43,9655.08,436.83,33.6392235162243,"ambient","dry"
"ambient-dry",2009-01-20,16149.61,9665.02,433.79,33.5831428466375,"ambient","dry"
"ambient-dry",2009-01-21,16173.39,9650.27,432.49,33.5555860968207,"ambient","dry"
"ambient-dry",2009-01-22,16240.9,9679.23,431.21,33.5282172472573,"ambient","dry"
"ambient-dry",2009-01-23,16279.85,9679.62,429.94,33.5010359560875,"ambient","dry"
"ambient-dry",2009-01-24,16309.6,9670.8,428.690000000001,33.4740418831746,"ambient","dry"
"ambient-dry",2009-01-25,16403.93,9726.55,427.440000000001,33.4472346900907,"ambient","dry"
"ambient-dry",2009-01-26,16478.28,9762.31,426.2,33.420614040102,"ambient","dry"
"ambient-dry",2009-01-27,16558.42,9803.84,424.99,33.3941795981548,"ambient","dry"
"ambient-dry",2009-01-28,16626.04,9832.84,423.78,33.3679310308621,"ambient","dry"
"ambient-dry",2009-01-29,16721.32,9879.89,432.18,33.5005084624255,"ambient","dry"
"ambient-dry",2009-01-30,16793.91,9904.23,440.6,33.6332711068131,"ambient","dry"
"ambient-dry",2009-01-31,16880.7,9942.77,449.030000000001,33.7662186355548,"ambient","dry"
"ambient-dry",2009-02-01,16964.37,9978.17,457.47,33.8993507217927,"ambient","dry"
"ambient-dry",2009-02-02,17028.09,9993.61,465.919999999999,34.0326670402682,"ambient","dry"
"ambient-dry",2009-02-03,17094.56,10011.79,474.39,34.1661672673088,"ambient","dry"
"ambient-dry",2009-02-04,17195.88,10072.37,475.3,34.1874469113142,"ambient","dry"
"ambient-dry",2009-02-05,17268.17,10103.91,476.22,34.2088020213616,"ambient","dry"
"ambient-dry",2009-02-06,17318.94,10113.93,477.14,34.2302324750682,"ambient","dry"
"ambient-dry",2009-02-07,17352.88,10107.12,478.070000000001,34.2517381506507,"ambient","dry"
"ambient-dry",2009-02-08,17392.11,10105.59,479,34.273318926921,"ambient","dry"
"ambient-dry",2009-02-09,17409.98,10082.69,479.94,34.2949746832818,"ambient","dry"
"ambient-dry",2009-02-10,17445.49,10077.44,480.88,34.3167052997222,"ambient","dry"
